epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.1072,1.44353,4.29947,1.32707,0.00333,0.85714,0.00512,0.00324,1.06299,4.03403,1.02777,0.00016,0.00016,0.00016
2,65.3589,1.3007,2.85473,1.02762,0.00352,0.90476,0.10331,0.07302,1.07841,3.57738,0.99862,0.000333268,0.000333268,0.000333268
3,93.2545,1.28154,2.4222,1.04484,0.00333,0.85714,0.01892,0.00665,0.81905,3.68799,0.92934,0.000499408,0.000499408,0.000499408
4,119.675,1.36181,2.25354,1.03766,0.00352,0.90476,0.41197,0.31638,0.88898,3.49803,0.96812,0.00065842,0.00065842,0.00065842
5,146.31,1.27803,1.60029,1.00944,0.00446,0.85714,0.80694,0.54262,1.26371,3.25269,1.07648,0.000810304,0.000810304,0.000810304
6,174.821,1.27509,1.67386,1.03303,0.00352,0.90476,0.7866,0.51991,1.10082,3.29292,1.03473,0.00095506,0.00095506,0.00095506
7,204.842,1.27533,1.57864,1.06961,1,0.2056,0.85261,0.54439,1.1748,3.10973,1.0312,0.00109269,0.00109269,0.00109269
8,233.25,1.24054,1.4927,1.03493,0.55114,0.52635,0.45658,0.30754,1.14576,3.16556,1.03555,0.00122319,0.00122319,0.00122319
9,261.224,1.35594,1.52314,1.0521,0.65187,0.66667,0.60468,0.39543,1.17751,3.15133,1.0561,0.00134656,0.00134656,0.00134656
10,288.421,1.19638,1.42132,1.00098,0.96067,0.71429,0.83522,0.57348,1.10423,2.68768,1.0124,0.0014628,0.0014628,0.0014628
11,315.977,1.18288,1.41197,0.9947,1,0.68851,0.8898,0.52268,1.3992,2.75438,1.13207,0.00157192,0.00157192,0.00157192
12,353.092,1.14037,1.45095,1.03539,0.97317,0.7619,0.9168,0.56951,1.31505,2.25152,1.09496,0.0015644,0.0015644,0.0015644
13,385.489,1.13506,1.34017,1.02106,0.96747,0.80952,0.91541,0.6226,1.08072,2.03185,1.0408,0.0015248,0.0015248,0.0015248
14,417.463,1.33865,1.36287,1.05056,1,0.79513,0.86941,0.62768,0.9837,2.2338,1.02501,0.0014852,0.0014852,0.0014852
15,447.225,1.15115,1.27785,1.01871,1,0.78324,0.91251,0.6564,0.9431,2.31927,1.03583,0.0014456,0.0014456,0.0014456
16,476.385,1.17307,1.27342,1.01251,1,0.8311,0.88463,0.62332,0.96351,2.00323,1.0159,0.001406,0.001406,0.001406
17,504.452,1.11078,1.21361,0.9959,1,0.84018,0.85734,0.63169,1.00525,1.77856,1.00557,0.0013664,0.0013664,0.0013664
18,530.637,1.09773,1.20318,0.97434,0.98876,0.80952,0.85058,0.57797,1.06512,1.77537,1.00905,0.0013268,0.0013268,0.0013268
19,557.881,1.19713,1.24978,1.0192,0.98737,0.85714,0.932,0.56371,1.17993,1.60429,1.04425,0.0012872,0.0012872,0.0012872
20,585.689,1.12658,1.21555,0.9744,1,0.8447,0.94599,0.61018,1.19014,1.57128,1.0949,0.0012476,0.0012476,0.0012476
21,614.93,1.13419,1.19247,0.99823,0.9064,0.92283,0.94553,0.57159,1.31003,1.55344,1.13287,0.001208,0.001208,0.001208
22,644.339,1.09328,1.14856,0.98609,0.99223,0.85714,0.9353,0.59286,1.1214,1.38565,1.0693,0.0011684,0.0011684,0.0011684
23,675.104,1.07855,1.15111,0.98644,1,0.89657,0.93449,0.60203,1.04256,1.35627,1.03722,0.0011288,0.0011288,0.0011288
24,704.811,1.0369,1.12809,0.95427,0.9915,0.90476,0.94856,0.64821,1.04739,1.28331,1.03701,0.0010892,0.0010892,0.0010892
25,736.091,1.04689,1.10869,0.97866,0.90434,0.95238,0.93336,0.59764,1.12938,1.37033,1.07918,0.0010496,0.0010496,0.0010496
