epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.9175,1.17638,1.19956,1.02827,0.99452,1,0.995,0.77191,0.87175,1.46768,0.90441,0.00016,0.00016,0.00016
2,64.6189,1.10202,1.14613,0.97011,0.98991,0.94737,0.99024,0.69558,0.85382,1.47421,0.90052,0.000333268,0.000333268,0.000333268
3,91.5821,1.1024,1.1641,0.94975,1,0.99547,0.995,0.72482,0.86939,1.32392,0.88904,0.000499408,0.000499408,0.000499408
4,117.932,1.12713,1.14518,0.98156,0.99597,0.94737,0.9925,0.75942,0.91025,1.47172,0.91206,0.00065842,0.00065842,0.00065842
5,144.723,1.15783,1.11893,0.97956,0.99556,0.94737,0.9925,0.78391,0.83897,1.16712,0.88762,0.000810304,0.000810304,0.000810304
6,171.636,1.10431,1.15587,0.99441,1,0.94232,0.9925,0.77742,1.00438,1.17594,0.91867,0.00095506,0.00095506,0.00095506
7,198.73,1.08126,1.16688,1.0257,0.94723,0.94479,0.97628,0.71682,1.13092,1.34458,0.97576,0.00109269,0.00109269,0.00109269
8,226.03,1.19521,1.16705,1.02616,1,0.94219,0.9863,0.71648,0.98414,1.37035,0.9403,0.00122319,0.00122319,0.00122319
9,257.503,1.13817,1.07562,1.02125,0.99289,0.89474,0.97304,0.70342,0.98653,1.25854,0.9428,0.00134656,0.00134656,0.00134656
10,286.598,1.0647,1.0529,1.00222,0.99662,0.89474,0.97116,0.72903,0.98763,1.17174,0.93209,0.0014628,0.0014628,0.0014628
11,314.647,1.07454,1.12787,0.99009,0.98725,0.94737,0.9611,0.66177,1.13641,1.20154,0.95005,0.00157192,0.00157192,0.00157192
12,342.007,1.13226,1.09134,1.00897,0.99761,0.94737,0.95645,0.70779,1.043,1.27763,0.94034,0.0015644,0.0015644,0.0015644
13,369.098,1.12422,1.09415,0.98735,0.99411,0.94737,0.9481,0.74477,0.98948,1.18996,0.92944,0.0015248,0.0015248,0.0015248
14,396.397,1.10183,1.02786,0.97566,0.99436,0.94737,0.94861,0.73154,1.04763,1.18665,0.94996,0.0014852,0.0014852,0.0014852
15,424.047,1.0914,0.98358,0.99071,0.99574,0.94737,0.95673,0.72104,1.02776,1.19474,0.96584,0.0014456,0.0014456,0.0014456
