epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.3912,1.0283,1.10074,0.9822,0.99938,1,0.995,0.72082,0.79257,0.94022,0.78171,0.00016,0.00016,0.00016
2,63.6421,1.02441,1.09761,0.9485,1,0.99907,0.995,0.70047,0.76274,0.95185,0.79569,0.000333268,0.000333268,0.000333268
3,90.3311,1.09295,1.07057,0.97666,1,0.99647,0.995,0.71524,0.72237,0.9452,0.79216,0.000499408,0.000499408,0.000499408
4,118.158,1.04448,1.04402,0.97919,1,0.97075,0.995,0.6996,0.90097,1.15569,0.81893,0.00065842,0.00065842,0.00065842
5,145.944,1.05771,1.03953,0.95414,1,0.99557,0.995,0.69003,0.89083,0.997,0.81862,0.000810304,0.000810304,0.000810304
6,172.708,1.09006,0.97509,0.9734,1,0.98687,0.995,0.66413,0.83532,1.11736,0.80514,0.00095506,0.00095506,0.00095506
7,200.88,1.08255,1.00734,0.96746,0.96107,1,0.995,0.63465,0.95049,1.0269,0.84306,0.00109269,0.00109269,0.00109269
8,228.264,1.07632,1.00455,0.98984,0.94576,1,0.9925,0.6786,1.05207,1.0806,0.88248,0.00122319,0.00122319,0.00122319
9,255.975,1.10791,1.00146,0.94975,0.9876,1,0.995,0.66241,1.08976,1.03313,0.90481,0.00134656,0.00134656,0.00134656
10,283.467,1.07473,1.06707,1.00073,1,0.9985,0.995,0.62415,1.12338,1.06431,0.9329,0.0014628,0.0014628,0.0014628
11,310.627,1.24529,1.06818,1.03008,0.94966,0.99322,0.99,0.64423,1.04253,1.10376,0.83191,0.00157192,0.00157192,0.00157192
