epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.2418,1.18705,1.2761,1.02373,1,0.99918,0.995,0.6754,1.04926,1.2214,0.92679,0.00016,0.00016,0.00016
2,69.3821,1.05068,1.06806,0.96501,0.99974,1,0.995,0.68027,1.31961,1.20964,0.98949,0.000333268,0.000333268,0.000333268
3,98.2159,1.07238,1.11731,0.99126,1,0.99178,0.995,0.66257,1.29555,1.29163,0.99322,0.000499408,0.000499408,0.000499408
4,125.134,0.98705,1.05592,0.95052,1,0.99083,0.995,0.65063,1.3336,1.4527,0.98773,0.00065842,0.00065842,0.00065842
5,153.33,1.13458,1.03035,0.96799,0.99705,1,0.995,0.65869,1.25826,1.2352,0.96126,0.000810304,0.000810304,0.000810304
6,181.032,1.07499,1.05781,0.96433,0.99597,1,0.995,0.63809,1.29877,1.31384,0.97048,0.00095506,0.00095506,0.00095506
7,208.615,1.09139,1.06596,1.00267,0.99537,1,0.995,0.62295,1.39162,1.199,1.02252,0.00109269,0.00109269,0.00109269
8,236.182,1.17709,1.06963,0.99548,0.95617,0.99187,0.99109,0.60492,1.42623,1.2169,1.01037,0.00122319,0.00122319,0.00122319
9,264.067,1.02548,1.00373,0.95256,0.98902,0.86364,0.97977,0.59157,1.45392,1.34045,0.99622,0.00134656,0.00134656,0.00134656
10,291.85,1.05742,0.99308,0.94291,0.91046,0.92478,0.97317,0.59305,1.35987,1.2617,0.98009,0.0014628,0.0014628,0.0014628
11,319.832,1.04763,0.99147,0.94529,0.90729,0.95455,0.97592,0.59267,1.38107,1.23224,1.02436,0.00157192,0.00157192,0.00157192
12,347.283,1.03037,1.09754,0.95982,0.90529,0.95455,0.97118,0.60376,1.3964,1.30049,1.01888,0.0015644,0.0015644,0.0015644
